entity,type,abs_rel,is_refer,is_freq,basetime,start,end
第四季度,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/1 0:00,2018/12/31 23:59
深夜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 23:00,2018/11/2 0:59
从9日至10日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/9 0:00,2018/11/10 23:59
2013年12月以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/11/1 0:00,2018/11/1 12:00
黄昏时分,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/11/1 17:00,2018/11/1 18:59
每年的11月到第二年,time_period,relative,FALSE,TRUE,2018/11/1 12:00,,
跨年夜晚上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,,
白天,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 17:59
2013年7月至8月期间,time_period,absolute,FALSE,FALSE,,2013/7/1 0:00,2018/8/31 23:59
这个礼拜,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/10/29 0:00,2018/11/4 23:59
下星期,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/11 23:59
每天早上7点到8点半,time_period,relative,FALSE,TRUE,2018/11/1 12:00,,
这周末,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/11/3 0:00,2018/11/4 23:59
未来两天,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/2 12:00,2018/11/3 23:59
凌晨04：00-06：00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 6:00
夜间10：00-12：00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 22:00,2018/11/2 0:00
这礼拜,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/10/29 0:00,2018/11/4 23:59
下周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/11 23:59
昨天晚上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 18:00,2018/10/31 23:59
每周六晚,time_period,relative,FALSE,TRUE,2018/11/1 12:00,,
正月初四到初七期间,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/4 0:00,2018/1/7 23:59
春运期间,time_period,relative,FALSE,FALSE,2018/11/1 12:00,,
1月8日凌晨,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/8 0:00,2018/1/8 5:59
去年第三季度,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2017/7/1 0:00,2017/9/30 23:59
三季度,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/7/1 0:00,2018/9/30 23:59
未来4年内,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2019/1/1 0:00,2022/12/31 23:59
从2013年初开始,time_period,absolute,FALSE,FALSE,2018/11/1 12:00,2013/1/1 0:00,2013/1/31 23:59
1995年至2000年期间,time_period,absolute,FALSE,FALSE,,1995/1/1 0:00,2000/1/31 23:59
早上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 8:59
２０１３年度,time_period,absolute,FALSE,FALSE,,2013/1/1 0:00,2013/12/31 23:59
９日上午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/9 6:00,2018/11/1 11:59
