entity,type,abs_rel,is_refer,is_freq,basetime,start,end
上世纪90年代至20世纪初期,time_period,relative,FALSE,FALSE,,,
自2010年12月30日至2013年12月30日,time_period,absolute,FALSE,FALSE,,,
1992.05-1992.11,time_period,absolute,FALSE,FALSE,,1992/5/1 0:00,1992/11/30 23:59
1996.09-1999.07,time_period,absolute,FALSE,FALSE,,1999/9/1 0:00,1999/7/31 23:59
今年起到2017年,time_period,relative,FALSE,FALSE,,,
正月初五到初九期间,time_period,relative,FALSE,FALSE,,,
1月4日至6日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/4 0:00,2018/1/6 23:59
2月1日—2月5日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/2/1 0:00,2018/2/5 23:59
正月初二到初六,time_period,relative,FALSE,FALSE,,,
1977年至2010年间,time_period,absolute,FALSE,FALSE,,1977/1/1 0:00,2010/12/31 23:59
10：30-12：00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 10:30,2018/11/1 12:00
2013—2015年间,time_period,absolute,FALSE,FALSE,,2013/1/1 0:00,2015/12/31 23:59
2013年6月中旬到10月底,time_period,relative,FALSE,FALSE,,,
1985年至1990年之间,time_period,relative,FALSE,FALSE,,1985/1/1 0:00,1990/12/31 23:59
2009年7月份至2012年10月份,time_period,absolute,FALSE,FALSE,,2009/7/1 0:00,2012/10/31 23:59
1月31日至2月6日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/31 0:00,2018/2/6 23:59
农历大年初一至初七,time_period,relative,FALSE,FALSE,,,
1月20日至22日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/20 0:00,2018/1/22 23:59
明晚到后天,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/2 0:00,2018/11/3 23:59
1月16日至1月18日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/16 0:00,2018/1/18 23:59
