entity,type,abs_rel,is_refer,is_freq,basetime,start,end,
前一周末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/27 0:00,2018/10/28 23:59,
前一周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/22 0:00,2018/10/28 23:59,
前一个星期,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/22 0:00,2018/10/28 23:59,
前两个礼拜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/15 0:00,2018/10/28 23:59,
前半个世纪,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2000/1/1 0:00,2049/12/31 23:59,
前一晚,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 18:00,2018/10/31 23:59,
前15分钟,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 11:45,2018/11/1 11:59,
前半年,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/5/31 23:59,
今年前半年,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/5/31 23:59,
前11个月,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 12:00,2018/10/31 23:59,
后三周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/25 23:59,
明年起的5年内,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2019/1/1 0:00,2023/12/31 23:59,
后天晚上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/3 18:00,2018/11/3 23:59,晚上没有处理到
午后,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/1 14:59,
2014年1月中旬前后,time_period,absolute,FALSE,FALSE,,2014/1/11 0:00,2014/1/20 23:59,调用我自己得程序：构造重复的结构就可以了
20世纪后期,time_period,absolute,FALSE,FALSE,,1970/1/1 0:00,1999/12/31 23:59,
未来24小时,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/2 12:00,
一年里,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/12/31 23:59,
清晨,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 7:00,
周六早上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/3 4:00,2018/11/3 11:59,周六+早上
过去30年里,time_period,relative,FALSE,FALSE,2018/11/1 12:00,1988/1/1 0:00,2018/10/31 23:59,
白天,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 17:59,
晚上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 18:00,2018/11/1 23:59,
下周四到下周六,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/8 0:00,2018/11/11 23:59,
上世纪90年代开始,time_period,relative,FALSE,FALSE,2018/11/1 12:00,1990/1/1 0:00,1999/12/31 23:59,
从昨晚6点半到现在9点,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 18:30,2018/11/1 9:00,昨晚这个有错误
2013年12月23日凌晨,time_period,absolute,FALSE,FALSE,2018/11/1 12:00,2013/12/23 0:00,2013/12/23 5:59,调用我自己得程序：构造重复的结构就可以了
早晨,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 8:59,
年底,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/12/1 0:00,2018/12/31 23:59,
2013年年底,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/12/1 0:00,2013/12/31 23:59,调用我自己得程序：构造重复的结构就可以了
上世纪70年代,time_period,relative,FALSE,FALSE,2018/11/1 12:00,1970/1/1 0:00,1979/12/31 23:59,
周末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/3 0:00,2018/11/4 23:59,
