entity,type,abs_rel,is_refer,is_freq,basetime,start,end
去年5月以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2017/5/1 0:00,2018/11/1 12:00
2014年1月1日凌晨,time_period,absolute,FALSE,FALSE,,2014/1/1 0:00,2014/1/1 5:59
白天,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 17:59
晚上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 18:00,2018/11/1 23:59
一月中旬到一月下旬,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/10 0:00,2018/1/31 23:59
黄昏,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/10 17:00,2018/11/20 18:59
前两周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/15 0:00,2018/10/28 23:59
1月中旬,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/11 0:00,2018/1/20 0:00
同年7月下旬,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/7/21 0:00,2018/7/31 23:59
下下礼拜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/12 0:00,2018/11/18 23:59
星期天下午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/4 12:00,2018/11/4 18:00
下周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/11 23:59
1月以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/11/1 12:00
2014年一季度,time_period,absolute,FALSE,FALSE,,2014/1/1 0:00,2014/3/31 23:59
1964年8月29日到9月29日,time_period,absolute,FALSE,FALSE,,1964/8/29 0:00,1964/9/29 23:59
下一个礼拜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/11 23:59
下礼拜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/11 23:59
下一季度,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2019/1/1 0:00,2019/3/31 23:59
2O05年至2013年3月期间,time_period,absolute,FALSE,FALSE,,2005/1/1 0:00,2013/3/31 23:59
上周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/22 0:00,2018/10/28 23:59
上上周,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/15 0:00,2018/10/21 23:59
一季度,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/3/31 0:00
上午9:00至12:00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 9:00,2018/11/1 12:00
下午13:00至17:00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 13:00,2018/11/1 17:00
昨天早上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 4:00,2018/10/31 11:59
1995至1998年期间,time_period,absolute,FALSE,FALSE,,1995/1/1 4:00,1998/12/31 23:59
下午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/1 18:59
昨日下午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 12:00,2018/10/31 18:59
一周内,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/8 12:00
本月底,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/21 0:00,2018/11/31  23:59:59
当天下午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/1 18:59
周末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/3 0:00,2018/11/4 23:59
工作日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/29 12:00,2018/11/2 23:59
夜间,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 23:00,2018/11/2 5:59
下周末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/10 0:00,2018/11/11 23:59
今早,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 8:59
今年上半年,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/6/30 23:59
从去年12月底,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2017/12/20 0:00,2017/12/31 23:59
昨晚,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 18:00,2018/10/31 23:59
早上,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 11:59
8日白天到10日夜间,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/8 6:00,2018/11/10 23:59
过去4个月来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/7/1 12:00,2018/11/1 12:00
2013年下半年,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/7/1 0:00,2013/12/30 23:59
从2014年1月2日至6月30日,time_period,absolute,FALSE,FALSE,,2014/1/2 0:00,2014/6/30 23:59
未来的6个月内,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2019/5/1 12:00
30日夜间,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/30 0:00,2018/11/30 5:59
黎明,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 5:00,2019/11/1 6:59
第三天上午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/4 6:00,2018/11/4 11:59
1月上旬,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/10 0:00,2018/1/20 0:00
本月上旬,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 0:00,2018/11/10 0:00
7月中旬,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/7/10 0:00,2018/7/20 0:00
一个月中,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 0:00,2018/11/30 23:59
昨天中午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/31 10:00,2018/10/31 13:59
23日凌晨,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/23 0:00,2018/11/23 5:59
次日早晨,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/2 4:00,2018/11/2 9:00
今天中午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 10:00,2018/11/1 13:59
2015年12月以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2015/12/1 0:00,2018/11/1 12:00
这个周末,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/11/3 0:00,2018/11/4 23:59
这周末,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/11/3 0:00,2018/11/4 23:59
2013年9月底,time_period,absolute,FALSE,FALSE,,2013/9/21 0:00,2013/9/30 23:59
从2014年1月1日至2015年12月31日,time_period,absolute,FALSE,FALSE,,2014/1/1 0:00,2015/12/31 23:59
从2011年5月至2013年底,time_period,absolute,FALSE,FALSE,,2011/5/1 0:00,2013/12/31 23:59
从2013年12月27日到今年1月6日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/12/27 0:00,2018/1/6 23:59
上个星期末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/27 0:00,2018/10/28 23:59
2013年7月中旬,time_period,absolute,FALSE,FALSE,,2013/7/10 0:00,2013/7/20 0:00
这周,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/10/29 0:00,2018/11/4 23:59
未来12月内,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2019/11/1 12:00
午后,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/1 14:59
晚上,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2018/11/1 18:00,2018/11/1 23:59
当日下午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 12:00,2018/11/1 18:59
2003年至2011年间,time_period,absolute,FALSE,FALSE,,2003/1/1 0:00,2011/12/30 23:59
今年10月初,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/1 0:00,2018/10/10 23:59
2013年三季度,time_period,absolute,FALSE,FALSE,,2013/7/1 0:00,2013/9/30 23:59
2月初,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/2/1 0:00,2018/2/10 0:00
当日早晨,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 4:00,2018/11/1 8:59
月底,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/21 0:00,2018/11/30 23:59
12月底,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/12/21 0:00,2018/12/31 23:59
2013年底,time_period,absolute,FALSE,FALSE,,2013/12/1 0:00,2013/12/31 23:59
上季度,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/7/1 0:00,2018/9/30 23:59
今夜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 23:59
下个星期,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/5 0:00,2018/11/11 23:59
2013年12月中旬,time_period,absolute,FALSE,FALSE,,2013/12/11 0:00,2013/12/20 23:59
2013年12月下旬至2014年6月,time_period,absolute,FALSE,FALSE,,2013/12/20 0:00,2014/6/30 23:59
2013年以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/1/1 0:00,2018/11/1 12:00
2013年11月下旬,time_period,absolute,FALSE,FALSE,,2013/11/20 0:00,2013/11/30 23:59
前一年的十二月初,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2017/12/1 12:00,2017/12/10 0:00
从2013年9月份开始至今,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2013/9/1 0:00,2018/11/1 12:00
上个礼拜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/22 0:00,2018/10/28 23:59
9:00——18:30,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 9:00,2018/11/1 18:30
早晨持续到午后,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 14:59
15日晚间到17日上午,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/15 18:00,2018/11/17 11:59
2014年以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2014/1/1 0:00,2018/11/1 12:00
下周周末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/10 0:00,2018/11/11 23:59
2012年8月到2013年7月,time_period,absolute,FALSE,FALSE,,2012/8/1 0:00,2013/7/31 23:59
半个世纪以来,time_period,relative,FALSE,FALSE,2018/11/1 12:00,1968/11/10 12:00,2018/11/1 12:00
上礼拜,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/10/22 0:00,2018/10/28 23:59
一季度末,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/3/20 0:00,2018/3/31 23:59
大清早,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 7:59
一年中,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/1 0:00,2018/12/31 23:59
2003~2012年,time_period,absolute,FALSE,FALSE,,2003/1/1 0:00,2012/12/31 23:59
2014年1月中上旬,time_period,absolute,FALSE,FALSE,,2014/1/1 0:00,2014/1/19 23:59
这个月中旬,time_period,relative,TRUE,FALSE,2018/11/1 12:00,2014/11/1 0:00,2014/11/9 23:59
1996年到1998年期间,time_period,absolute,FALSE,FALSE,,1996/1/1 0:00,1998/12/31 23:59
下半年,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/7/1 0:00,2018/12/31 23:59
2012－2013财年,time_period,absolute,FALSE,FALSE,,2012/1/1 0:00,2013/12/31 23:59
2005年至2013年,time_period,absolute,FALSE,FALSE,,2005/1/1 0:00,2013/12/31 23:59
上世纪90年代至20世纪初期,time_period,relative,FALSE,FALSE,,,
自2010年12月30日至2013年12月30日,time_period,absolute,FALSE,FALSE,,,
1992.05-1992.11,time_period,absolute,FALSE,FALSE,,1992/5/1 0:00,1992/11/30 23:59
1996.09-1999.07,time_period,absolute,FALSE,FALSE,,1999/9/1 0:00,1999/7/31 23:59
今年起到2017年,time_period,relative,FALSE,FALSE,,,
正月初五到初九期间,time_period,relative,FALSE,FALSE,,,
1月4日至6日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/4 0:00,2018/1/6 23:59
2月1日—2月5日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/2/1 0:00,2018/2/5 23:59
正月初二到初六,time_period,relative,FALSE,FALSE,,,
1977年至2010年间,time_period,absolute,FALSE,FALSE,,1977/1/1 0:00,2010/12/31 23:59
10：30-12：00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 10:30,2018/11/1 12:00
2013—2015年间,time_period,absolute,FALSE,FALSE,,2013/1/1 0:00,2015/12/31 23:59
2013年6月中旬到10月底,time_period,relative,FALSE,FALSE,,,
1985年至1990年之间,time_period,relative,FALSE,FALSE,,1985/1/1 0:00,1990/12/31 23:59
2009年7月份至2012年10月份,time_period,absolute,FALSE,FALSE,,2009/7/1 0:00,2012/10/31 23:59
1月31日至2月6日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/31 0:00,2018/2/6 23:59
农历大年初一至初七,time_period,relative,FALSE,FALSE,,,
1月20日至22日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/20 0:00,2018/1/22 23:59
明晚到后天,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/2 0:00,2018/11/3 23:59
1月16日至1月18日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/1/16 0:00,2018/1/18 23:59
从晚上9点到12点,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 21:00,2018/11/2 0:00
上午6点至下午7点半,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 6:00,2018/11/1 19:00
2013年8月1日至2014年7月31日,time_period,absolute,FALSE,FALSE,,2013/8/1 0:00,2014/7/31 23:59
2014年2月至3月底,time_period,absolute,FALSE,FALSE,,,
2014年4月至6月,time_period,absolute,FALSE,FALSE,,2014/4/1 0:00,2014/6/30 23:59
2014年7月至12月,time_period,absolute,FALSE,FALSE,,2014/7/1 0:00,2014/12/31 23:59
每天上午和晚间,time_period,relative,FALSE,FALSE,,,
下午14:00-15:00,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 14:00,2018/11/1 15:00
大年初一零时至初七24时,time_period,relative,FALSE,FALSE,,,
2月10日至13日,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/2/10 0:00,2018/2/13 23:59
周一至周五7时30分-9时30分,time_period,relative,FALSE,FALSE,,,
16时30分-18时30分,time_period,relative,FALSE,FALSE,2018/11/1 12:00,2018/11/1 16:30,2018/11/1 18:30
